,Post ID,Discussion Group,Author,Author Label,Topic,Body,Likes,Replies,Tags,Labels,Solution Link,Date,Time
0,492782,VM-Series in the Private Cloud,dmoore-acc360,L1 Bithead,"PA-VM no panarama, what does Export config & export device state do for me?",no panarama. so I have in the GUI or CLIexport named config snapshotexport configuration versionexport device state. What do those do for me? or should I just tftp  the config from the commandline ? Thanks   ,0,"
		1 REPLY 1
",,,,05-26-2022,11:19 AM
1,,VM-Series in the Private Cloud,avelK,,,,,,,,,,
2,485568,VM-Series in the Private Cloud,anLin,L1 Bithead,PA-VM-EVAL  shutdown automatically after boot,"Hi All, Recently I requested an Eval image of Palo alto when I install it just after boot it shows an error ""Bits 55-60 of /proc/PID/pagemap entries are about to stop being page-shift some time soon"".And after that message it says "" stopping pan software"" and the VM machine stopped, I start the VM again and it still showing the same message and stop working.  Any help on that, please? Many Thanks.",0,"
		13 REPLIES 13
",", eval, panos, vm",,,05-07-2022,05:06 AM
3,507484,VM-Series in the Private Cloud,Sec101,L4 Transporter,"Vcenter plugin, Notify Groups, Inherited address objects, and matching","In working with the panorama vcenter plugin, I've noticed unexpected results when panorama uses inherited ancestor address group objects when trying to pull vcenter tag matches.   It appears if the object is in the local device group, panorama populates dynamic tags, address objects into the group, and everything works. When using inherited address groups (notify group is mapped to descendant), panorama will no longer populate the dynamic tags from vcenter, nor will it show the actual addresses.   However, the firewalls still receive the mappings normally, and updates as expected.  It makes it impossible to search/match when the address group is at a higher level, but if you get the matches right (manually type the vcenter path), it appears to populate the firewalls as expected. Wondering if there is some mapping on the backend of panorama that isn't populating, or if the plugin is expecting everything to be at a single device group level?Any feedback/experiences with this?",0,"
		0 REPLIES 0
",,,,06-30-2022,11:04 AM
4,451801,VM-Series in the Private Cloud,aerspa,L1 Bithead,Commit error after version upgrade to v. 10.1.3,"Hi all,after an upgrade of my VM-100 from 9.1.12 to 10.1.3 version I receive a commit error.The fw is in HA configuration, but this is down. The other fw is ooperating in 9.1.12 version.On KB and communities I not have found a solution for this problem.On commit force, I receive Server error: Commit job was not queued. Client logrcvr not connected. All daemons are not available.I have restarted management process and logrcvr process without results.After reboot of vm nothing change.I think not have conflict of commit queues by different users. Any suggestion is appreciated. Many thanks.Max Thi is the tasks manager screenshot: ",0,"
		4 REPLIES 4
",,,,12-07-2021,06:29 AM
5,504715,VM-Series in the Private Cloud,yham81,L0 Member,Communication between NSX-T Manager and Panorama - User/Service account,"Hello Everyone,We are planning to setup VM-Series in host mode for East-West protection in NSX-T. Part of integration between NSX-T and Panorama, we need a user/service account on NSX-T that Panorama will use for integration and synchronization. My question is what roles/permission/privileges that user/service account need? does it have to be admin/super user?Could you please share some authentic source that provides this detail? Thanks in advance",0,"
		0 REPLIES 0
",", integration, nsx, NSX-T, panorama",,,06-19-2022,08:30 AM
6,503722,VM-Series in the Private Cloud,thiqah-infra,L1 Bithead,Deny logs on the monitor traffic is not showing. please i need help,"as you know that clicking on the monitor, it will appear all the allow and deny logs, but on my case i dont see any drop or deny on the logs. please any help or idea.  thanks",0,"
		5 REPLIES 5
",,,,06-14-2022,11:42 PM
7,493739,VM-Series in the Private Cloud,Marcin_Jakubiec,L0 Member,deploying ssl  decryption cert using global protect client,"Hi, I am trying to implement URL filtering for all users on Global Protect VPN.I have done some tests and figure it out that I need to have ssl decryption policy set, matching the URLs to be blocked. I am using self-signed cert for ssl forward proxy, have manually exported the cert and imported into my local trusted root, everything seems to be fine.The only question is how will I deploy the cert to all users? I dont want to do it manually for everyone, we dont have on prem DC. Is there a way to push the cert to the client using global protect client?I am using public sectigo cert to secure vpn connection. Regards,   ",0,"
		1 REPLY 1
",,,https://live.paloaltonetworks.com//t5/vm-series-in-the-private-cloud/deploying-ssl-decryption-cert-using-global-protect-client/m-p/494048#M45,05-27-2022,09:01 AM
8,487235,VM-Series in the Private Cloud,LCMember4427,L3 Networker,Migrate VMWare hosted VM-100 storage risks...,"Hi,We have a VM-100 running under VMWare vSphere 7 on a brand new Dell R640 host.  However its datastore (with its VM files and folders) are located in a iSCSI SAN where the controller is starting to get flakey.Hence I would like to either clone OR migrate its datastore folder to the R640's internal datastore so I can remedy the SAN controller problem.My question is:  If I switch off the VM-100, can I clone its datastore folder to the R640 internal's drive and restart it from the cloned folder copy without risking that the VM-100 license gets invalidated?  If yes, what is an absolutely bulletproof procedure to move a VM-100's datastore folder?  I only have a very small timeframe to do this in, so I just need to be sure to get it up and running again safely with no hassles....Thanks for commentsTor ",0,"
		1 REPLY 1
",,,,05-14-2022,02:01 PM
9,485495,VM-Series in the Private Cloud,Rob_Stevens,L0 Member,VM Series and Azure Stack Hub - Routing problem?,"All Having a frustrating time with VM-Series integration inside an Azure Stack Hub (2108, Disconnected) - Setup is as follows: >Installed from 8.1 marketplace image using basic 3 NIC template - then upgraded (in many stages) to 10.2.1.>Single firewall is positioned in hub VNet, with bidirectional VNet peering to the hosting VNets. No load balancer.>The firewall has static routes in place (in a single virtual router) to the 'router' address of each subnet on the hosting VNets. (i.e network addr +1)>A routing table is in place for all subnets required, pointing them to the trusted interface IP.>No NSGs are in place on the hosting VNets.>An intra-zone rule is in place to allow all traffic  Testing reveals that: >The firewall can ping all the hosts in the hosting VNets through the trusted interface.>Prior to enabling the route table in Azure, hosts pinging the trusted firewall interface do not get a reply, but are shown in the traffic log.>After enabling the full redirection via the trusted firewall interface, attempts to contact hosts on other VNets or subnets in the system fail, but the traffic is seen (as allowed) in the firewall log. Nothing gets through or re-routed though - I have tried with and without a noNAT to make sure that wasn't the issue.>A packet capture reveals the firewall sending ARPs for the address of the subnet router addresses - but cannot see if it gets a reply. So what do we think is happening here? It's like the firewall isn't able to reach the router address in the subnet, even though I can see that it can.Have I missed something? Asymmetric routing perhaps?  ",0,"
		0 REPLIES 0
",,,,05-06-2022,12:30 PM
