,Post ID,Discussion Group,Author,Author Label,Topic,Body,Likes,Replies,Tags,Labels,Solution Link,Date,Time
0,508462,Cortex XSOAR Discussions,BCC_Automatizacaria-labelion_Josep,L1 Bithead,Need a time limit for EmailAskUser task.,"When automation EmailAskUser is used, a wait task is placed after it waiting if there's an answer. If there's no answer the automation will stay there forever, a time threshold is needed to continue the automation. How can be this time limit set?",0,"
		7 REPLIES 7
",,,https://live.paloaltonetworks.com//t5/cortex-xsoar-discussions/need-a-time-limit-for-emailaskuser-task/m-p/508634#M1042,07-11-2022,01:51 AM
1,,Cortex XSOAR Discussions,jfernandes1,,,,,,,", Community Edition, cortex xsaor, Cortex XSOAR, Cortex XSOAR Webinar, cotrex xsoar, Global, Phishing, Playbook, Webinar, webinars, XSOAR",,,
2,506958,Cortex XSOAR Discussions,pottapitot,L1 Bithead,Create a PDF file from context,"Hi,I am trying to create playbook where IOCs are extracted and enriched and then values are send as a PDF file via email.I reached the part where the IOCs are parsed and enriched, but I am stuck at creating the PDF file. Is it possible to create a PDF file? I am trying to add the contents as a table. I did try to add html via the context values direct in send-mail as an alternative but does not seem right as the URLs and IOCs will be in the body. Thanks in advance.",0,"
		1 REPLY 1
",,,,06-29-2022,12:19 AM
3,506336,Cortex XSOAR Discussions,Abu_Satorp,L0 Member,XSOAR Integration with Cisco IronPort Email API - Code Missed on Backend,"Hi Team,  Can you please help here to integrate Cisco ESA(API V2)  with XSOAR . I have tried with the following integration from marketspace ""Cisco IronPort Email API (Community Contribution)"" which is developed using API v2. But unfortunately It pops' the below mentioned error while testing the connections.   Did not get the expected value from test (85)  #ironport#ciscoesa",0,"
		1 REPLY 1
",,,,06-27-2022,12:01 AM
4,504235,Cortex XSOAR Discussions,JuanCarlos_Lopearia-labelz,L1 Bithead,Error in Splunk integration Splunkpy,"Hello everyone,  While testing the integration of Splunk to XSOAR with Splunkpy, I'm getting this error:Anyone know how to solve it?Thanks for your support.",0,"
		1 REPLY 1
",,,,06-16-2022,07:39 AM
5,508638,Cortex XSOAR Discussions,vidurasupun,L2 Linker,Assigning an array of Values to a key/variable,"Hey guys, I'm working on separating internal and external IP(s) on a playbook and I want to use those values in a email body. So currently I'm using a temporary list to store IP(s) then call when needed in the same playbook with ${lists.templist}. But I have two limitations with this approach, If someone has a less messy method, please let me know. ",0,"
		4 REPLIES 4
",,,https://live.paloaltonetworks.com//t5/cortex-xsoar-discussions/assigning-an-array-of-values-to-a-key-variable/m-p/508910#M1048,07-13-2022,12:57 AM
6,508920,Cortex XSOAR Discussions,Aneo,L0 Member,accepting custom cert -failed,"Have followed this kb however under instance, it is still unable to test successfully when unchecking the trust all certification options under the integrated instance.  https://docs.paloaltonetworks.com/cortex/cortex-xsoar/6-1/cortex-xsoar-admin/docker/configure-pytho... upon further checking, have noticed the following empty fields. Not sure if it is supposed to be this way or there are some steps performed wrongly. ",0,"
		0 REPLIES 0
",,,,07-13-2022,08:58 PM
7,508678,Cortex XSOAR Discussions,ulu42,L0 Member,Communication Task Authentication failed,"Hi,I want users to authenticate in Cortex XSOAR before answering the form sent by mail like explained here https://docs.paloaltonetworks.com/cortex/cortex-xsoar/6-5/cortex-xsoar-admin/playbooks/playbook-task... The AD authentication instance seems to work, and when I try to login I can see on the AD side that the request is made and has the status succes.I have checked Use this instance for external authentication only in the instance config. But I cannot log in. In the Audit Trail I have: error - Could not authenticate user for external action. In the documentation it is writen ""For the Active Directory integration, enter the relevant groups for the external users."". The only thing group related I can see is the check box: Auto populate groups Thank you Cortex XSOAR",0,"
		1 REPLY 1
",,,,07-13-2022,11:39 AM
8,508607,Cortex XSOAR Discussions,alexbbryant,L0 Member,Handling errors in a playbook,"I'm looking to change the flow of my playbook not only if errors are encountered in my tasks, but dependant also on what those errors are. I found a tutorial on docs.paloaltonetworks.com that included this: Step 3: For new tasks, in the Task Name field, type a meaningful name for the task that corresponds to the data you are collecting.Step 4: Click the On Error tab.Step 5: In the Number of retries field, type the number of times the tasks attempts to run before generating an error. However, when I'm creating a new task, there aren't any tabs to be seen. Am I missing a step? Is this version dependant?Thanks!",0,"
		1 REPLY 1
",,,,07-12-2022,01:32 PM
9,508402,Cortex XSOAR Discussions,vidurasupun,L2 Linker,Dbot Score for Virustotal IP check is always 1,"Hey Guys, I'm facing this issue that doesn't matter how malicious the IP is Dbotscore is being 1 for the VT IP automation, Things I tried, 1. Setting a threshold in VT integration for 1.2 . Setting the reliability to A+2. Running the command  Kindly let me know if you have any solutions for the issue,  ",0,"
		1 REPLY 1
",,,,07-09-2022,08:25 AM
