,Post ID,Discussion Group,Author,Author Label,Topic,Body,Likes,Replies,Tags,Labels,Solution Link,Date,Time
0,508918,VM-Series in the Public Cloud,Connected123,L2 Linker,Subnet to Subnet communication through PA-VM,"G'day All, I was wondering if anyone can guide me with an issue I am facing. We have Hub & Spoke model and want to have all Subnet to Subnet as well as VNET to VNET traffic to pass through PA.  SUBNETS: Do I need to add them to the already existing Interfaces below? Or make changes to the routing table? ",0,"
		0 REPLIES 0
",,,,07-13-2022,08:52 PM
1,,VM-Series in the Public Cloud,Astardzhiev,,,,,,,,,,
2,500206,VM-Series in the Public Cloud,Astardzhiev,Cyber Elite,Issues with Overlay Routing and AWS Gateway Load Balancer,"Hey Folks, I am having difficulties to get Overlay routing working with AWS GWLB and I was wondering is it something that I am doing wrong or missing some configuration element... Any of you using AWS GWLB with overlay routing enabled? In my test setup when overlay routing is enabled the test VM is able to reach internet over the PAN FW - Outbound is working fine.But East-West between VPCs and Inbound traffic is not working. I can see traffic hitting the firewall, but allow traffic log show only byte send and no return traffic. Packet capture on the destination (for both east-west and inbound) doesn't show traffic to be arriving, so it looks like once FW inspect the packet and send back to GWLBe it doesn't send it in the correct direction.If overlay routing is disabled everything works - east-west, inbound and outbound. I found some old discussions mentioning issues with overlay routing, but from what I understand those know issues were for version 10.0.x, while we have tested with 10.2.1 and 10.1.6  NGFW AWS ",1,"
		5 REPLIES 5
",,,,06-06-2022,06:13 AM
3,508179,VM-Series in the Public Cloud,IMADHA,L0 Member,HA A/P on AZURE IP floating,"Hello,i configured HA actif / passif on azure when the failovor occurs the floating IP still on the First Firewall, she not move for the seconf that he becomes Actif.- all permiissions are gived -configuration is a same to the Knowledge base-test plugin is passed in logs i see that and i dont know what that's mean :  2022-06-29 17:41:54.307 +0200 vm_ha_state_trans INFO: : Sending detach command for NIC : None2022-06-29 17:41:54.337 +0200 vm_ha_state_trans INFO: : Instance running in region '-----europe'2022-06-29 17:41:54.338 +0200 vm_ha_state_trans INFO: : URL for put request: https://management.azure.com/None?api-version=2019-11-012022-06-29 17:41:54.455 +0200 vm_ha_state_trans INFO: : Put Request Failed: 404 thank you all fou your help",0,"
		0 REPLIES 0
",,,,07-07-2022,01:37 AM
4,470642,VM-Series in the Public Cloud,bambox,L1 Bithead,Does firewall VM on AWS and Azure have 30 days trial of usage ?,"Hello, In the plan details on Azure, it mentions that PAYG usually have a 30 day free trial, my question is if in these 30 days, would I be charged for usage in any case, in other words, is there certain level of usage that I should stay under before being charged hourly.  Thanks. ",0,"
		2 REPLIES 2
",", aws, microsoft azure, Public Cloud, vm-series",,,03-04-2022,03:09 PM
5,472938,VM-Series in the Public Cloud,palo_altogether,L0 Member,Palo Alto VM-300 firewall in Azure with 40GB system disk needs 60GB for PAN-OS 10.0 upgrade,"Hello all, We have a Palo Alto VM-300 firewall in Azure which was deployed from the market place with a 40GB system disk.To upgrade to PAN-OS 10.0 and above, the system disk needs to be a minimum of 60GB.Has anyone done this before?What is the best approach? Thanks",0,"
		1 REPLY 1
",,,,03-14-2022,11:11 AM
6,507878,VM-Series in the Public Cloud,undersolar,L0 Member,Global Protect Portal unreachable on AWS deployed VM series,"Hello all, I am trying to configure Global Protect Portal on AWS using PA VM Series (10.1.5) using three interfaces and with swapped data/management interfaces as I am planning to put GWLB in front for ingress. Anyhow I am following multiple guides including official ones to configure Global Protect Portal, but none of the configuration works. As I am using DHCP to assign IP addresses to interfaces, seems bit counterintuitive to configure interface to use DHCP as I have to assign an public (EIP) IP address to public interface together with DHCP associated private IP address. What am I doing wrong or using wrong assumption? As said above, I am using 3 interfaces, management interface, private interface configured using DHCP (trusted zone), and public interface with associated public (EIP address) which is going to be used to reach the portal. For sake of simplicity I am using IP to reach the portal before exposing access behind ALB and proper DNS. ",0,"
		0 REPLIES 0
",,,,07-04-2022,08:07 AM
7,507769,VM-Series in the Public Cloud,uture,L1 Bithead,CPUID question to VM-Series,"For Azure VM-Series, can CPUID be the same per instance?Customers say that 4-7 CPUIDs are all the same in the VM-Series.The serial number is different for each instance, but can the CPUID be the same?I know that CPUID is a unique value of VM-Series. I think that the eigenvalue should be different for each instance. What do you think?",0,"
		0 REPLIES 0
",,,,07-02-2022,05:49 AM
8,482441,VM-Series in the Public Cloud,Sephora_IT,L0 Member,How to see geneve encapsualted header information in packet capture,How to see geneve encapsualted header information in packet capture,0,"
		4 REPLIES 4
",,,,04-25-2022,01:47 PM
9,505891,VM-Series in the Public Cloud,ScottShorkey,L0 Member,Azure Deployment instructions don't work - web interface won't load,"I tried deploying the vm series firewall in an Azure environment using the steps here  https://docs.paloaltonetworks.com/vm-series/9-1/vm-series-deployment/set-up-the-vm-series-firewall-o...  I followed every step exactly as indicated but when I got to step 5 the web interface won't load, it just gives ""This site can’t be reached"" (Google Chrome) or ""Hmmm… can't reach this page"" (Edge) error and there's a banner at the top of the VM page in Azure saying ""<> virtual machine agent status is not ready. Troubleshoot the issue"". Clearly there are other steps involved that the instructions are not talking about. How do I get this to work?",0,"
		1 REPLY 1
",,,,06-23-2022,01:03 PM
