,Post ID,Discussion Group,Author,Author Label,Topic,Body,Likes,Replies,Tags,Labels,Solution Link,Date,Time
0,470717,Cortex XDR Discussions,ESJosephPrinz,L2 Linker,Join two data sets XQL,"Before I get into my failed script, please allow me to explain what Im attempting to do. We are looking for windows and Macintosh devices with cortex xdr agent NOT installed.  To do this we installed the cortex DHCP log collector. It is reporting its findings into asset manager.  The problem is that when an IP changes, the agent doesnt show this in the endpoint manager and as a result the cortex asset manager reports devices as without the agent when they actually do (cortex please fix this).  So we have hundreds of false positives. So, what we have to do is when DHCP logger reports a device with a new IP we have to look in endpoint manager for the name of the device. If we find it, the agent is installed, if we dont we need to audit the machine and install the agent if need be. Now, I could export both of these into a TSV, bring them into excel and do the work (and I have),.. however, we want this to be a report in the portal and we want to send alerts..   So, went into the xql query builder and tried a bunch of stuff..  Here is my lastest, which shows no errors in the edit box but the report finds nothing..  dataset = microsoft_dhcp_raw //| filter hostName != """"| alter hn1 = split(hostName ,""."") / dedup hostName//| dedup ipAddress //| union (dataset = endpoints)//| filter endpoint_name = hn1|join conflict_strategy = both type = inner (dataset = endpoints ) as EP EP.endpoint_name = hn1 | fields ipAddress,ip_address, hostName,hn1,endpoint_name When this didnt work, I figured it had something to do with my alter statement and used an IP which should surely have a match:dataset = microsoft_dhcp_raw //| filter hostName != """"| alter hn1 = split(hostName ,""."") |// dedup hostName| dedup ipAddress | union (dataset = endpoints)//| filter endpoint_name = hn1|join conflict_strategy = both type = inner (dataset = endpoints ) as EP EP.ip_address = ipAddress | fields ipAddress,ip_address, hostName,hn1,endpoint_name As you can see I played around with UNION as I have no idea what Im doing.  I left my commented out statements just to show what Ive played with.  Also, this would get me matches if it worked.. so how would I show no matches found for the join?Both show no errors in the editor but when I run it I just get: ERROR: FAILED TO RUN with no result. Im probably going about this all wrong, so any help would be appreciated. ",1,"
		4 REPLIES 4
",", XQL",,,03-05-2022,11:19 AM
1,,Cortex XDR Discussions,tugriceri,,,,,,,", Cortex Data Lake, Cortex XDR, Cortex XDR Webinars, Events, IoT Security, PA Firewall, PAN-OS, SIEM, XDR, XDR Events, XDR Webinars",,,
2,508640,Cortex XDR Discussions,Aiman_Fathima,L1 Bithead,XDR allwoing blocked files to run,"Hello,Even though we have added the file hash to the BLOCK LIST, XDR still alllows the process to run. Does someone know  the reason for why this is occuring. ",0,"
		2 REPLIES 2
",,,,07-13-2022,01:45 AM
3,508969,Cortex XDR Discussions,NathanBradley,L2 Linker,Action_File_Size for event_sub_type Create,"When running a query for FilesThe file size when the sub type is ""create"" is always 0When sub_type is ""open"" it does show the correct file size Is the file size not available during a create event?   ",0,"
		1 REPLY 1
",,,,07-14-2022,08:40 AM
4,508591,Cortex XDR Discussions,Bojan-Totic,L1 Bithead,Create report that shows new incidents based on a specific Incident Source,"Hey! We have different teams looking at different incident sources.Is there a way to report a widget or report that displays new incidents coming in for a specific Incident Source?  Example:Only XDR Analytic BIOC alerts would show up in this fashion in a widget or report, rather than ever Incident: Kind Regards,Bojan",0,"
		2 REPLIES 2
",,,https://live.paloaltonetworks.com//t5/cortex-xdr-discussions/create-report-that-shows-new-incidents-based-on-a-specific/m-p/508598#M2343,07-12-2022,12:15 PM
5,505523,Cortex XDR Discussions,RFeyertag,L1 Bithead,XQL query for hunting MS-DFSNM,"Hello dear community,  has anyone of you a XQL Query for this type of attack? https://www.bleepingcomputer.com/news/microsoft/new-dfscoerce-ntlm-relay-attack-allows-windows-domai... BR Rob",0,"
		2 REPLIES 2
",,,,06-22-2022,02:05 PM
6,488018,Cortex XDR Discussions,palomed,L3 Networker,Can Cortex XDR proactively log Global Protect client debug?,"We have several hundred Global Protect users using Auto VPN. It would be nice to see their global protect logs, ipconfig /all, netstat -rn information before calling themback on a filed ticket. Can Cortex collect these logs on a regular basis without user involvement? What has to be enabled at the GP client and/or PAN to allow this log collection to occur?",0,"
		3 REPLIES 3
",,,,05-17-2022,03:28 PM
7,508641,Cortex XDR Discussions,Shashanksinha,L0 Member,Blocking executions without showing any alerts,"Hello , is there any way in cortex XDR to block executions without whitelisting/blocking the hash/file path and not getany incident or alert and at the same time.",0,"
		1 REPLY 1
",,,,07-13-2022,01:47 AM
8,508422,Cortex XDR Discussions,Guy.Ashkenazi,L0 Member,Not see any information on Host Insights,"Hi,I turn on the Host Insights free trial and not see any information on Host Insights,when i did that to other customers ther all working well but at this one its not working, what is the problem?i did calculated again, i turn that on week ago.",0,"
		2 REPLIES 2
",,,https://live.paloaltonetworks.com//t5/cortex-xdr-discussions/not-see-any-information-on-host-insights/m-p/508475#M2334,07-10-2022,03:27 AM
9,508548,Cortex XDR Discussions,Daniel_Itenberg,L2 Linker,Adding Process\file global exceptions in XDR,"Hi, I want to add an exception for an in house app that the xdr keeps blocking. I tried adding a global exception as outlined here - https://docs.paloaltonetworks.com/cortex/cortex-xdr/cortex-xdr-pro-admin/endpoint-security/exception... However I dont have the option to create an alert exception in the right click menu. I am an admin in our xdr. How can i create an exception?",0,"
		2 REPLIES 2
",,,,07-12-2022,12:55 AM
10,508556,Cortex XDR Discussions,Balaraju,L2 Linker,Broker VM questions - Tenant switch for agent,"Hello  Please share any experience or advice for below situation and how best to approach this . Currently agents are connected to UK Cortex XDR  tenant via a Broker VM installed on premise . Now the need is to use EU Cortex XDR tenant ,this will be a permanent switch .So can a new Broker VM need to be installed and configured to EU Cortex XDR tenant and then agents be configured to use this new Broker VM ?  will this work ? or any other better way is available .Also should the managing server be changed before changing Broker VM settings on agents or it can be done afterwards ? Thanks in advance ",0,"
		1 REPLY 1
",,,,07-12-2022,04:54 AM
11,508333,Cortex XDR Discussions,Cyber1985,L3 Networker,Security Test / poor result,Hello dear Community! Does this result reflect the strenght of PA Cortex XDR? https://papers.vx-underground.org/papers/Malware%20Defense/AV%20Tech/An%20Empirical%20Assessment%20o... BR Rob ,0,"
		2 REPLIES 2
",,,,07-08-2022,09:28 AM
12,507254,Cortex XDR Discussions,Houston29115,L1 Bithead,"how to suppress the prompt ""Cortex XDR"" would like filter network content""","for the Macs, how does one configure Cortex to suppress the display of this prompt (see attached), and just automatically use 'Allow'. Ive tried calling up com.paloaltonetworks.cortex.app.plist, but I don't see an obvious key pair where this behavior might be controlled.  ",0,"
		3 REPLIES 3
",,,,06-29-2022,02:31 PM
13,508371,Cortex XDR Discussions,NathanBradley,L2 Linker,Adding a list when applying a filter,"Is there a way to take a list and apply as a filter, without adding each one separatelyFor example, below pasting in a list of endpoint names. instead of typing each one individually   ",0,"
		2 REPLIES 2
",,,,07-08-2022,11:25 AM
14,507691,Cortex XDR Discussions,NathanBradley,L2 Linker,Correlation Rule for services,"Is it possible to create a correlation rule to identify when new services are present on an endpointFor example,Create a correlation rule ,using a query that returns all services on an endpoint, that creates a new data set of the results..say there are 201 servicesCreate a rule that then alarms when either a new service is present or just when the result is greater than 201 ",0,"
		2 REPLIES 2
",,,,07-01-2022,08:38 AM
15,507596,Cortex XDR Discussions,MithunKT,L0 Member,Move newly installed agents(hosts) to a specific endpoint group automatically without admin intervention,"Hi All, We are trying to move around 2000+ hosts to cortex XDR. We have started installing agents in a phase-wise approach not all at once.Also, have created a specific endpoint group with customized prevention policies. Now the problem is that the admin has to manually move newly installed hosts to this group every time. Is there any way that new hosts can be moved automatically to this specific group soon after agent installation? Cortex XDR ",0,"
		2 REPLIES 2
",,,https://live.paloaltonetworks.com//t5/cortex-xdr-discussions/move-newly-installed-agents-hosts-to-a-specific-endpoint-group/m-p/507602#M2314,06-30-2022,10:04 PM
16,497098,Cortex XDR Discussions,RomainCouvreur,L1 Bithead,Specific Cortex XDR Alert,"Hello PA community , Please could you clarify a doubt ? In Cortex XDR is there any way to alert if the endpoint is disconnected? From my knowledge . i can confirm that we can retrieve disconnected agent by creating a filter from endpoint administration but not sure if we can create an Alert for this.Also is it possible to receive an alarm when a user is created on an endpoint ? Thanks in advance for your help on this. Best regards",0,"
		3 REPLIES 3
",,,https://live.paloaltonetworks.com//t5/cortex-xdr-discussions/specific-cortex-xdr-alert/m-p/497693#M2081,06-01-2022,06:58 AM
17,,Cortex XDR Discussions,tugriceri,,,,,,,", Cortex Data Lake, Cortex XDR, Cortex XDR Webinars, Events, IoT Security, PA Firewall, PAN-OS, SIEM, XDR, XDR Events, XDR Webinars",,,
