,Discussion ID,Author,Body,Likes,Date,Time
0,434557,jdelio,"It's your last chance to register forSASE Converge 2021where Palo Alto Networks explores how three key ideas - convergence, security, and user experience - are reshaping industries. Looking forward to seeing you there!",0,09-27-2021,01:45 PM
1,466433,Stevenjw0728,There is no access to the prisma node beyond the panorama and the prisma access cloud configuration if not using panorama.,0,03-22-2022,02:15 PM
2,466433,Mudhireddy,HiYou can check the prisma access routing table information via both panorama and cloud managemt option.Panorama>cloud services>configuration>service-setup> under thatTroubleshooting optionYou can see routing tableAnd select service connection or remote networks as per choice.Let me know if you not fine I will past screenshot here once login panorama cloud service.,2,03-22-2022,06:38 PM
3,466433,droG,"Hello,Is it possible to check the routing information from the Prisma Access backbone point of view?In the GUI, I can check the BGP information from the Service Connections and Remote Networks side. But in this case I was looking for how the Prisma Access backbone see the routing once the Service Infrastructure is created.Thank you in advance for your help.",0,07-08-2022,02:51 AM
4,466433,aurence64,"I don't think there is anyway of checking the infrastructure routing table, as there is no way of controlling it other than configuring routing for your customer overlay.",0,07-08-2022,05:57 AM
5,486369,avelK,Thank you for the post@smshafekwithout Panorama you can use the option:Prisma Access (Cloud Managed). This is where you manage Prisma Access through a web-based interface using the Prisma Access app in the hub. Please refer to this document:https://docs.paloaltonetworks.com/prisma/prisma-access/prisma-access-cloud-managed-release-notes/rel...Kind RegardsPavel,2,05-11-2022,03:37 PM
6,486369,nikoolayy1,Hello as @PavelK said you can use Prisma GUI but if you want to manage on-prem firewalls together with Prisma Access then PANORAMA is the way to go.If you plan on using only Prisma Access without on-prem appliances or virtual edition palo alto firewalls you can also check:https://www.youtube.com/watch?v=1MY18gvd-P8https://www.youtube.com/watch?v=sb0EDXwrY6ohttps://www.youtube.com/watch?v=fjTNALi1h-o,1,05-16-2022,03:03 AM
7,486369,aurence64,"As I side note we are managing Prisma Access through the cloud platform and it is going well, for the most part the parity is there with Panorama / Firewalls so the learning curve is not steep, there are also some functions that are only manageable through the cloud portal.",0,07-06-2022,02:03 AM
8,505818,nikoolayy1,This is the section for Prisma Access the Firewall as a Service solution not the Prisma Cloud. Better post this under the correct section.,0,06-23-2022,10:22 PM
9,505818,d-schatz,Thanks so much for the quick response. I'll do that.,0,06-24-2022,07:17 AM
